name,version,dataset,fmt,module_type,network_architecture,author
unet-industrial-class_9@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
universal-sentence-encoder-lite@@google,2,None,hub,text-embedding,Transformer,google
imagenet-resnet_v2_152-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,ResNet V2 152,google
imagenet-mobilenet_v2_100_128-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v1_050_160-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_050_160-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
imagenet-resnet_v1_101-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,ResNet V1 101,google
imagenet-resnet_v1_50-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,ResNet V1 50,google
tf2-preview-nnlm-ko-dim50@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-mobilenet_v1_050_128-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_100_96-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
compare_gan-model_12_cifar10_resnet_cifar@@google,1,CIFAR-10,hub,image-generator,ResNet CIFAR,google
videoflow-generator@@google,1,BAIR Robot Pushing Dataset,hub,video-generation,VideoFlow,google
remote_sensing-eurosat-ms-resnet50@@google,1,Multiple,hub,image-feature-vector,ResNet V2 50,google
compare_gan-ssgan_128x128@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN,google
spice@@google,1,None,saved_model,audio-pitch-extraction,None,google
universal-sentence-encoder-multilingual@@google,3,None,saved_model_2,text-embedding,CNN,google
imagenet-mobilenet_v2_035_192-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
compare_gan-model_11_cifar10_resnet_cifar@@google,1,CIFAR-10,hub,image-generator,ResNet CIFAR,google
imagenet-mobilenet_v1_100_192-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_075_128-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
universal-sentence-encoder-xling-en-es@@google,1,None,hub,text-embedding,Transformer,google
imagenet-mobilenet_v2_035_128-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
tf2-preview-nnlm-zh-dim50-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
imagenet-resnet_v1_101-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,ResNet V1 101,google
vision-detector-megadetector_V3@@microsoft-ai-for-earth,1,None,hub,image-object-detection,None,microsoft-ai-for-earth
albert_base@@google,3,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,hub,text-embedding,Transformer,google
semi-exemplar-10@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
imagenet-mobilenet_v1_050_192-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V1,google
efficientnet-lite3-classification@@tensorflow,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B3,tensorflow
spiral-default-wgangp-celebahq64-gen-19steps-agent5@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
sup-100@@vtab,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,ResNet50-v2,vtab
imagenet-mobilenet_v1_075_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
tf2-preview-inception_v3-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,Inception V3,google
tf2-preview-inception_v3-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,Inception V3,google
unet-industrial-class_7@@nvidia,1,DAGM2007,hub,image-segmentation,Unet,nvidia
imagenet-inception_v2-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,Inception V2,google
nnlm-id-dim50-with-normalization@@google,2,Google News,saved_model_2,text-embedding,NNLM,google
bert_cased_L-12_H-768_A-12@@google,1,Wikipedia and BooksCorpus,hub,text-embedding,Transformer,google
bigbigan-revnet50x4@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigBiGAN,deepmind
nnlm-de-dim50-with-normalization@@google,1,Google News,hub,text-embedding,NNLM,google
imagenet-mobilenet_v1_025_192-quantops-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v2_035_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V2,google
imagenet-mobilenet_v2_035_160-classification@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V2,google
compare_gan-model_9_celebahq128_resnet19@@google,1,CelebA HQ,hub,image-generator,ResNet19,google
imagenet-mobilenet_v2_075_96-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
efficientnet-b1-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,EfficientNet-B1,google
imagenet-inception_resnet_v2-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,Inception ResNet V2,google
elmo@@google,3,1 Billion Word Benchmark,hub,text-embedding,ELMo,google
elmo@@google,2,1 Billion Word Benchmark,hub,text-embedding,ELMo,google
spiral-default-wgangp-celebahq64-gen-19steps-agent2@@deepmind,1,CelebA HQ,hub,image-rnn-agent,Other,deepmind
